id,sort,title,content,legend,image
1,1,STARTSEITE,"<p><strong>HILFE KARTE: FUNKTIONEN UND PRAKTISCHE ANWENDUNG</strong></p><p><strong>Die Karte von geo.admin.ch ist eine intuitive Anwendung für die Suche, Anzeige und Nutzung von Informationen geografischer Art. Sie ermöglicht die interaktive Darstellung von Karten und eingeblendeten Fachdaten mit Hilfe eines standardmässigen Web-Browsers.</strong></p><p>Als Benutzer können Sie zahlreiche Parameter dieser Karte festlegen - zum Beispiel die dargestellte Zone und die Bildgrösse sowie den Typus der angezeigten Informationen oder den Kartenhintergrund.</p><p>Die Anwendung gestattet nicht nur die Bildschirmanzeige, sondern auch einen qualitativ guten Papierausdruck. Sie ermöglicht je nach Einstellung den Zugriff auf Zusatzinformationen, die mit den geografischen Objekten verknüpft sind.</p>",,/help/img/00d.png
10,2,AUFBAU KARTENFENSTER,#,,
11,3,Wechsel der Sprache der Anwendung,"Die Anwendung erkennt die vom Browser bevorzugte Sprache. Wenn Ihnen die Default-Sprache aus irgendeinem Grund nicht zusagt, können Sie sie wechseln, indem Sie das Auswahlmenue oben rechts benutzen.",,/help/img/11d.png
12,4,Koordinatenanzeige,"Die Koordinaten des Cursors im Landeskoordinatensystem werden direkt unter der Hauptkarte angezeigt.
Mittels Mausklick rechts auf einen Punkt in der Karte werden weitere Information wie Höhe in einem Zusatzfenster angezeigt.
<br><img src=""/help/img/12d.png"">",,/help/img/12-2d.png
20,5,NAVIGATION & ORIENTIERUNG,#,,
21,6,Ändern des Kartenmassstabs,"Mit jedem Klick auf das ""+"" oder ""-"" wird der angezeigte Massstab vergrössert oder verkleinert.",,/help/img/21d.png
22,7,Zoom auf Ausschnitt,Zoom auf Rechteck / Ausschnitt wird über SHIFT Taste und gleichzeitiges Aufziehen eines Rechteckes mit gedrückter linker Maustaste aktiviert.,,/help/img/22d.png
23,8,Verschiebewerkzeug (Panning),"Das Verschiebewerkzeug kann auf zwei Arten benutzt werden : Panning: klicken und gedrückt halten, um die Karte zu verschieben.",,/help/img/23d.png
24,9,Zentrieren auf Koordinaten,"Wenn die Koordinaten eines interessanten Punktes bekannt sind, müssen diese lediglich in das dafür vorgesehenen Feld eingetragen werden, um die Karte auf diesen Punkt zu zentrieren. 
Im Landeskoordinatensystem: z.B. ""600000 200000"" - In Breiten / Längengrad: z.B ""46.5 6.0""",,/help/img/24d.png
25,10,"Suchen eines Orts, PLZ oder Flurnamen","Das Menü ""Geographische Suche"" ermöglicht den sofortigen Zugriff auf Orts - und Gemeindenamen, Postleitzahlen, Geographische Bezichnungen (Berggipfel, Siedlungen,Täler, Gebiete,Gewässer, Strassen und Anlagen). Es müssen mindestens 4 Buchstaben eingeben werden, um Vorschläge zu erhalten.",,/help/img/25d.png
26,11,Zurück in die Startansicht - Reset,"Indem Sie auf das Logo der Schweizerischen Eidgenossenschaft klicken, können Sie zurück in die Startansicht des Viewers gesprungen werden. Die Ansicht wechselt zu ganzer Schweiz.
Der Viewer wird auch reinitialisiert.",,/help/img/26d.png
