id,sort,title,content,legend,image
1,1,HOMEPAGE,"<b>MAP HELP: FUNCTIONS AND PRACTICAL APPLICATIONS</b>

<b>The “map viewer” facility of geo.admin.ch is an intuitive application for the search, display and use of geographical information. It enables the interactive presentation of maps and the inclusion of specialised (thematic) geographical data using a standard Web browser.</b> 

The user can customise many map parameters, such as the area displayed and the size of the image, as well as the type of information displayed and the cartographic background. 

The application enables not only on-screen display but also high-quality printouts on paper. Depending on the installation, it may also be possible to access additional information linked to the geographical objects displayed.",,/help/img/00e.png
10,2,MAP WINDOW,#,,
11,3,Change language,"The application detects the default language of the browser. If you prefer another of the available languages, choose your preference from the pulldown menu located at the top right.",,/help/img/11e.png
12,4,Display coordinates,"Hovering the mouse cursor on the map, corresponding coordinates are displayed below the main map window. With a right mouseklick on the map, additional information regarding the position (such as altitude etc) are shown.
<br><img src=""/help/img/12e.png"">",,/help/img/12-2e.png
20,5,NAVIGATION & ORIENTATION,#,,
21,6,Zoom in and zoom out (change the map scale),"To enlarge or reduce the scale, click on the plus or minus button or simply use the mouse wheel.",,/help/img/21e.png
22,7,Zoom in to a section of the map,Zoom in to a rectangular map section by  keeping the SHIFT key pressed and drawing a rectangle with the left-hand mouse button.,,/help/img/22e.png
23,8,Panning tool,The panning tool can be used to shift the map on display: click and hold down to move the map.,,/help/img/23e.png
24,9,Geographical search (centre on coordinates),"If coordinates of a point of interest are known, these can simply be entered in the “Search location, zip, coordinate” field, to centre the map on the required point: for example ""600000 200000"" in national coordinates or ""46.5 6.0"" for latitiude and longitude",,/help/img/24e.png
25,10,Geographical search (place name or postcode),"The “Search location, zip, coordinate” field enables direct access to any place or commune name, any Swiss postcode or indeed any location named on the national map at any scale (mountain, valley, pass, hamlet, farmhouse, hut, river, stream, lake, etc.) As soon as a letter or number is entered, suggestions for place names or postcodes respectively will start to appear; if the desired name or postcode becomes visible it is then sufficient to click on it.",,/help/img/25e.png
26,11,Back to start - reset,"Clicking on the Swiss Confederation logo, top left corner, takes you straight back to the map viewer’s starting screen.
The viewer is also reset.",,/help/img/26d.png
27,12,Geolocation,"The ""geolocation"" button allows the location of your geographical position by GPS. When clicked for the first time, it becomes red and an icon is displayed on the map.

The arrow, represented by the icon, shows the direction where you are looking at. Therefore, when you move your device, the icon rotates.

<img src=""/help/img/27a_e.png"">


When you click on the ""geolocation"" button the second time, the map orientates itself depending upon the direction of the device. To exit the mode ""geolocation"", click once again on the button.

<img src=""/help/img/27b_e.png"">",,
30,13,SELECTION AND DISPLAY OF DATA,#,,
31,14,Full text search for data,"Under ""Search"" you can enter search terms (keywords such as marsh, road, commune, earthquake) in order to search through all centrally available digital geodata. When you select one of the results offered, it will be displayed on the map viewer, as a separate data layer ",,/help/img/31e.png
32,15,Search for data (catalogue),"Under ""Change topic"" you will find all available digital data classified by theme. When you select a data-set (by clicking on the circle symbol to the right) it will be displayed directly by the map viewer, as a separate layer of data. ",,/help/img/32e.png
33,16,Change the cartographic background,The cartographic background is the national map or  aerial photography. It is possible to select national map colour or black-and-white or no background,,/help/img/33e.png
34,17,Change the visibility of the selected dataset,Click the Icon (1). The transparency/opacity of each selected data-set (layer) can be individually adjusted by activating the layer options and the changing the horizontal slider. Options menu can then be hidden again if required.,,/help/img/34e.png
35,18,Change the order of the selected datasets,Click the Icon (1). The order of the selected data-sets (layers) can be changed by using the up or down arrows (2) in the “selection” pane.,,/help/img/35d.png
36,19,Remove selected datasets,A selected data-set (layer) can be removed from the “Selection” list and from the map itself by using the “Remove layer” (Close) button (1).,,/help/img/36e.png
37,20,View additional information about a data-set,"In the “Selection”, “Search” or “Catalogue” pane, the “i” button provides access to an information window about the selected data-set (layer). The information provided covers; the range of applicable scales, available metadata, a link to the description of the data, how to order data, the relevant thematic geoportal and WMS service and the issue date (latest revision date) of the data.",,/help/img/37e.png
38,21,View information about an object on the map,"Where vector data-sets (points, lines or areas) are displayed, attributes of individual objects can be interrogated simply by means of a mouse click. If more than one layer os activated information will be provided for all objects/features at the mouse position for all active data-sets.",,/help/img/38e.png
39,22,Buy data,Raw data-sets for download can be obtained via the corresponding federal authority - depending on the licensing attributes. The link “Order data” will lead to the corresponding dowload/shop or web ressource.,,/help/img/39e.png
40,23,Aerial photography,"By using the LUBIS Viewer application <a href=""http://map.lubis.admin.ch"">map.lubis.admin.ch </a> you have access to all aerial images and image strips which are available in the aerial image database of swisstopo.  They can be searched for, viewed and ordered. The database is permanently updated with image strips and historical images. New updates are available every three months.
General information can be found under the following <a href=""http://www.swisstopo.admin.ch/internet/swisstopo/de/home/products/images/aerial.html""> link </a>

1. Start the application on <a href=""http://map.lubis.admin.ch"">map.lubis.admin.ch</a>.

2. Search for a place or a coordinate 

<img src=""/help/img/luft2.png"" />

3. Choose the image type (black and white, color, infrared or image stripes).
4. Search by year: Can be activated by the button <b1> “Time” <b2> 

<img src=""/help/img/luft3.png"" />

5. By clicking on a single image (point) or an image stripe (line) you will see:
- The area the image covers (in yellow).
- A window with information (full view/technical data sheet) and the opportunity to make an order. 

<img src=""/help/img/luft4.png"" />

A document with further informations can be found here:
<iframe src=""https://docs.google.com/presentation/d/1xiLNEWj0DaCbjNiInNxvn2qapFhpSBjCaZfT_BGMlic/embed?start=false&loop=false&delayms=5000"" frameborder=""0"" width=""570"" height=""456"" allowfullscreen=""true"" mozallowfullscreen=""true"" webkitallowfullscreen=""true""></iframe>",,/help/img/blank.png
41,24,Print,"The “Print” function enables you to produce portable document format (.pdf) files containing an extract of the main map and any background data, together with information such as the map scale. You can save these files and print them out. The “Print” button opens a dialogue box for your choice of scale of the A4/A3 page to be downloaded and printed, independent of the scale of the map view on display. The printable area will be highlighted and the map canbe moved / panned with the mouse to fit the extired extent into the print area. The legend for selected thematic data-sets (layers) can also be printed to a second page by activating the corresponding checkbox. Actviate the ""Coordinate grid"" check box to superimpose a georeferencing information. CAUTION: pdf files can occupy several megabytes (MB) which may take a considerable time to download if your Internet connection is slow.","<b>Legend:</b> Legends of all active datasets will be printed on a second page.
<b>Coordinate grid:</b> Superposition of the Swiss WGS84 coordinate system.
<b><i>Optional</i> Time Series:</b> For datasets with several time representations: a new PDF is generated for each time representation of the middle of the map.",/help/img/40e.png
42,25,Time slider,"Some geodata can be filtered by time. These datasets are identified by the ""time"" icon that is displayed on the viewer on the right side.
<img src=""/help/img/42e.png""><br>

1) Select a <b>raster</b> dataset (eg. As ""Journey through time - Maps"") or a <b>vector</b> dataset (eg. ""Aerial Images swisstopo color"").<br>
2) The icon <b>""time""</b> appears to the right and:
 - in the case of <b>raster</b> dataset, it is enabled by default: the time slider appears, and the latest dataset is displayed
 - in the case of <b>vector</b> dataset, it is disabled by default: the data of all years are displayed. When activating the icon ""time"", the time slider appears and only the data of the most recent year is displayed.<br>
3) Use the <b>time slider</b> to select the data of a particular year.<br>
4) The selected year is also mentioned in the selection window.",,/help/img/blank.png
43,26,Time copy/compare,"1) Select a raster dataset with time representation (eg. As ""Journey through time - Maps"") or a vector dataset (eg. ""Aerial Images swisstopo color"").
2) Copy this dataset by clicking the icon <b>""Copy""</b> in the selection window: the duplicate layer appears.
3) Open the <b>year selection window</b> by clicking on the year number of the dataset (in red) and choose the needed year for each layer.

4) Compare these two datasets by using directly the transparency slider of the upper layer or by using the <b>""Compare""</b> function in ""Tools"".

<img src=""/help/img/43e.png"">",,/help/img/blank.png
