id,sort,title,content,legend,image
1,1,PAGE D'ACCUEIL,"<b>AIDE CARTE : FONCTIONS ET APPLICATIONS PRATIQUES</b>

<b>La carte de geo.admin.ch est une application intuitive qui permet la recherche, l'affichage et l'utilisation d'informations géographiques. 
Elle présente des cartes et des données géographiques métiers de manière interactive en employant un navigateur Web standard.</b>

L'utilisateur peut personnaliser de nombreux paramètres de la carte: par exemple la zone affichée et la taille de l'image ou encore les Informations affichées et les arrière-plans.

L'application permet non seulement un affichage à l'écran, mais aussi des impressions papier de qualité. Il est aussi possible, selon l'installation, d'accéder à des informations complémentaires à propos des objets géographiques affichés.
",,/help/img/00f.png
10,2,FENÊTRE,#,,
11,3,Changer de langue,"L'application détecte la langue par défaut du navigateur. Si cette langue ne vous convient pas, vous pouvez la changer en utilisant le menu déroulant en haut à droite.",,/help/img/11f.png
12,4,Indication des coordonnées,"Lorsque le curseur de la souris est sur la carte, les coordonnées correspondant à son emplacement (dans le format choisi) sont visibles au dessous de celle-ci. Au moyen d'un clic-droit de la souris sur un point de la carte, des informations complémentaires (comme l'altitude) sont affichées dans une nouvelle fenêtre.
<br><img src=""/help/img/12f.png"">",,/help/img/12-2f.png
20,5,NAVIGATION & ORIENTATION,#,,
21,6,Changer l'échelle de la carte,"Il suffit de cliquer sur les boutons ""plus"" et ""moins"" pour modifier l'échelle de la carte",,/help/img/21f.png
22,7,Zoom sur une zone,"En maintenant la touche Shift appuyée et en effectuant un cliquer-glisser, on peut définir une zone rectangulaire sur laquelle un zoom s'effectue lorsqu' on relâche le bouton de la souris.",,/help/img/22f.png
23,8,Déplacer (pan),On peut se déplacer en effectuant un cliquer-glisser sur la carte. ,,/help/img/23f.png
24,9,Recentrer sur des coordonnées,"Lorsque l'on connaît les coordonnées d'un endroit intéressant, on peut les entrer dans le champ de saisie de recherche géographique afin de centrer la carte sur cette zone. – En coordonnées nationales: par exemple ""2600000 1200000"" -""782543 186049"" – En Latitude / Longitude: par exemple ""46.8 9.83""",,/help/img/24f.png
25,10,"Recentrer selon localité, npa, lieu-dit ","Le champ de saisie de recherche géographique permet d'atteindre les communes, cantons, lieux-dits et autres dénominations géographiques (sommets, vallées, régions, cours d'eaux et lacs). Après avoir saisi au moins 4 caractères des suggestions de lieux commençant par ceux-ci apparaissent, et il suffit de cliquer sur celle qui convient.",,/help/img/25f.png
