id,sort,title,content,legend,image
1,1,PAGINA INIZIALE,"<b>AIUTO CARTINA: FUNZIONI ED APPLICAZIONI PRATICHE</b>

<b>La carta di geo.admin.ch è un’applicazione intuitiva che permette la ricerca, la visualizzazione e l’utilizzo di informazioni geografiche. Essa presenta delle carte e dei dati geografici specifici in modo interattivo e attraverso un navigatore Web standard.</b>
 
L’utilizzatore può personalizzare numerosi parametri della carta, come ad esempio la zona illustrata e la grandezza dell’immagine o ancora le informazioni mostrate e gli sfondi.

L’applicazione permette non soltanto la visualizzazione su schermo, ma anche una stampa su carta di alta qualità. è anche possibile, secondo i casi, accedere a informazioni complementari riguardanti gli oggetti geografici visualizzati.
",,/help/img/00i.png
10,2,FINESTRA,#,,
11,3,Cambiare la lingua,"L’applicazione riconosce la lingua di default del navigatore. Se questa lingua non fa al caso vostro, potete cambiarla ciccando sul link in alto a destra.",,/help/img/11i.png
12,4,Indicazione delle coordinate,"Quando il cursore si trova sulla mappa, le coordinate corrispondenti alla sua posizione (coordinate nazionali) sono visualizzate nella barra inferiore della finestra. Con un tasto destro del mouse sulla mappa, vengono visualizzati ulteriori informazioni riguardanti la posizione (a.e. l'altitudine).
<br><img src=""/help/img/12i.png"">",,/help/img/12-2i.png
20,5,NAVIGAZIONE & ORIENTAMENTO,#,,
21,6,Cambiare la scala della carta,"Semplicemente cliccate sul tasto ""più"" e ""meno"" oppure direttamente sulla scala desiderata.",,/help/img/21i.png
22,7,Zoom su una zona,"Mantenendo premuto il tasto Shift ed effettuando un click-trascinamento, è possibile definire una zona rettangolare sulla quale effettuare uno zoom. Lo zoom viene attivato quando si rilascia il tasto del mouse.",,/help/img/22i.png
23,8,Spostamento (pan),È possibile spostarsi sulla mappa grazie a un click-trascinamento sull’area della cartina.,,/help/img/23i.png
24,9,Centrare su delle coordinate,"Se si conoscono le coordinate di un luogo interessante, è possibile inserirle nel campo di ricerca geografica per centrare la mappa sul punto scelto. Ad esempio in coordinate nazionali: ""782543 186049"" oppure in Latitudine / Longitudine: ""46.8 9.83""",,/help/img/24i.png
25,10,"Centrare su località, CAP, toponimo","Il campo di ricerca geografica permette di ritrovare i comuni, i cantoni ed in generale tutti i toponimi (cime, valli, regioni, corsi d’acqua ecc…). dopo aver inserito almeno 4 lettere del nome ricercato, i suggerimenti iniziano ad apparire ed è sufficiente ciccare sull’elemento desiderato per centrarlo nella vista principale.",,/help/img/25i.png
26,11,Ritorno alla visualizzazione iniziale - reset,"Cliccare sul logo della confederazione svizzera, in alto a sinistra, permette di ritornare alla visualizzazione iniziale della mappa, cioè alla vista d’insieme della Svizzera.
Il visualizzatore sarà reinizializzato.",,/help/img/26f.png
